Number,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
0, 10, 100, 0.1,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9161,12.589797019958496
1, 10, 50, 0.1,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.917,7.505033016204834
2, 20, 100, 0.1,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9304,20.06783390045166
3, 20, 50, 0.1,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9304,15.111234188079834
4, 10, 100, 0.1,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9583,11.239012956619263
5, 10, 50, 0.1,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9553,7.680460214614868
6, 20, 100, 0.1,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9719,19.009837865829468
7, 20, 50, 0.1,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9637,17.18621802330017
8, 10, 100, 0.1,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8665,11.528313159942627
9, 10, 50, 0.1,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8354,9.06041669845581
10, 20, 100, 0.1,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8935,28.46540093421936
11, 20, 50, 0.1,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8768,16.36184597015381
12, 10, 100, 0.1,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.8997,9.56536602973938
13, 10, 50, 0.1,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.8758,7.062573194503784
14, 20, 100, 0.1,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9161,19.32966685295105
15, 20, 50, 0.1,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9,13.741643905639648
16, 10, 100, 0.1,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.1445,9.734534740447998
17, 10, 50, 0.1,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.1857,7.795377016067505
18, 20, 100, 0.1,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3289,24.375909328460693
19, 20, 50, 0.1,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.322,16.317370176315308
20, 10, 100, 0.1,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,11.401458978652954
21, 10, 50, 0.1,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,7.915803909301758
22, 20, 100, 0.1,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,19.666563987731934
23, 20, 50, 0.1,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,15.305969715118408
24, 10, 100, 0.1,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9164,11.669468879699707
25, 10, 50, 0.1,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9172,8.94934606552124
26, 20, 100, 0.1,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9324,22.727421760559082
27, 20, 50, 0.1,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9314,16.419615983963013
28, 10, 100, 0.1,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9566,8.576822996139526
29, 10, 50, 0.1,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9527,7.127070903778076
30, 20, 100, 0.1,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9693,19.35787606239319
31, 20, 50, 0.1,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9664,15.096440076828003
32, 10, 100, 0.1,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8646,17.42339777946472
33, 10, 50, 0.1,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8422,11.55211091041565
34, 20, 100, 0.1,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8975,35.95455884933472
35, 20, 50, 0.1,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8744,15.858302116394043
36, 10, 100, 0.1,cross-entropy,binary,256,random,ReLu,Sigmoid,0.8992,20.04602599143982
37, 10, 50, 0.1,cross-entropy,binary,256,random,ReLu,Sigmoid,0.8639,13.401185035705566
38, 20, 100, 0.1,cross-entropy,binary,256,random,ReLu,Sigmoid,0.9145,38.46502089500427
39, 20, 50, 0.1,cross-entropy,binary,256,random,ReLu,Sigmoid,0.9009,25.369853019714355
40, 10, 100, 0.1,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.1629,19.36861300468445
41, 10, 50, 0.1,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.1777,20.307782888412476
42, 20, 100, 0.1,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3353,41.372575998306274
43, 20, 50, 0.1,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3538,30.691590309143066
44, 10, 100, 0.1,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,23.558675050735474
45, 10, 50, 0.1,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,410.10652899742126
46, 20, 100, 0.1,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,31.653167009353638
47, 20, 50, 0.1,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,13.781345129013062
48, 10, 100, 0.1,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.865,13.11506199836731
49, 10, 50, 0.1,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.8502,7.90923285484314
50, 20, 100, 0.1,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.8913,22.359061002731323
51, 20, 50, 0.1,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.888,16.15062403678894
52, 10, 100, 0.1,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9204,8.946953058242798
53, 10, 50, 0.1,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9167,6.36000919342041
54, 20, 100, 0.1,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9343,17.839531898498535
55, 20, 50, 0.1,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9285,13.871218204498291
56, 10, 100, 0.1,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.3633,12.304890155792236
57, 10, 50, 0.1,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.2842,7.521195888519287
58, 20, 100, 0.1,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.0975,22.74203395843506
59, 20, 50, 0.1,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.4794,17.43574285507202
60, 10, 100, 0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.1552,8.493235111236572
61, 10, 50, 0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.0912,7.1181559562683105
62, 20, 100, 0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2669,16.41381311416626
63, 20, 50, 0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2264,12.801353931427002
64, 10, 100, 0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,9.715005159378052
65, 10, 50, 0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,7.1013407707214355
66, 20, 100, 0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,19.65262007713318
67, 20, 50, 0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,24.211207151412964
68, 10, 100, 0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,14.478219032287598
69, 10, 50, 0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,10.012128114700317
70, 20, 100, 0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,25.00167489051819
71, 20, 50, 0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,20.690443992614746
72, 10, 100, 0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.8641,11.014814138412476
73, 10, 50, 0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.856,8.863460779190063
74, 20, 100, 0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.891,23.05936574935913
75, 20, 50, 0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.8895,15.848812103271484
76, 10, 100, 0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9175,8.42432689666748
77, 10, 50, 0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9174,7.1940531730651855
78, 20, 100, 0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9365,17.287372827529907
79, 20, 50, 0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9328,14.529223918914795
80, 10, 100, 0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4241,11.437173843383789
81, 10, 50, 0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.2794,10.472961187362671
82, 20, 100, 0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.0993,22.798957109451294
83, 20, 50, 0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4399,15.782768964767456
84, 10, 100, 0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.2936,9.229229927062988
85, 10, 50, 0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.1923,6.692456960678101
86, 20, 100, 0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.3195,19.251314878463745
87, 20, 50, 0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.4322,16.57386016845703
88, 10, 100, 0.1,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,127.18745994567871
89, 10, 50, 0.1,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,7.908957004547119
90, 20, 100, 0.1,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,20.549896955490112
91, 20, 50, 0.1,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,13.782251834869385
92, 10, 100, 0.1,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,8.283003807067871
93, 10, 50, 0.1,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,6.36076807975769
94, 20, 100, 0.1,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,16.359413146972656
95, 20, 50, 0.1,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,12.219093799591064
96, 10, 100, 0.2,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9313,10.839117050170898
97, 10, 50, 0.2,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9322,7.9272730350494385
98, 20, 100, 0.2,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9495,20.831045150756836
99, 20, 50, 0.2,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9476,15.365065097808838
100, 10, 100, 0.2,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9682,9.142489194869995
101, 10, 50, 0.2,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9608,7.607508897781372
102, 20, 100, 0.2,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9734,18.90389108657837
103, 20, 50, 0.2,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9689,12.307541608810425
104, 10, 100, 0.2,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8942,10.107238054275513
105, 10, 50, 0.2,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8786,7.285077095031738
106, 20, 100, 0.2,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.9165,20.597637176513672
107, 20, 50, 0.2,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.9056,14.712883949279785
108, 10, 100, 0.2,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9135,8.06783413887024
109, 10, 50, 0.2,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.888,6.445921897888184
110, 20, 100, 0.2,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9317,16.085075855255127
111, 20, 50, 0.2,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9196,12.793779850006104
112, 10, 100, 0.2,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3285,9.50049901008606
113, 10, 50, 0.2,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3332,7.067997217178345
114, 20, 100, 0.2,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3606,18.683752298355103
115, 20, 50, 0.2,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3433,13.309523105621338
116, 10, 100, 0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,8.469292879104614
117, 10, 50, 0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,7.145709037780762
118, 20, 100, 0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,15.887434959411621
119, 20, 50, 0.2,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,12.117001056671143
120, 10, 100, 0.2,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9325,10.353102922439575
