Index,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
1,10,100,0.1,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9161,12.589797019958496
2,10,50,0.1,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.917,7.505033016204834
3,20,100,0.1,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9304,20.06783390045166
4,20,50,0.1,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9304,15.111234188079834
5,10,100,0.1,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9583,11.239012956619264
6,10,50,0.1,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9553,7.680460214614868
7,20,100,0.1,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9719,19.009837865829468
8,20,50,0.1,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9637,17.18621802330017
9,10,100,0.1,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8665,11.528313159942629
10,10,50,0.1,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8354,9.06041669845581
11,20,100,0.1,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8935,28.46540093421936
12,20,50,0.1,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8768,16.36184597015381
13,10,100,0.1,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.8997,9.56536602973938
14,10,50,0.1,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.8758,7.062573194503784
15,20,100,0.1,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9161,19.32966685295105
16,20,50,0.1,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9,13.741643905639648
17,10,100,0.1,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.1445,9.734534740447998
18,10,50,0.1,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.1857,7.795377016067505
19,20,100,0.1,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3289,24.375909328460693
20,20,50,0.1,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.322,16.317370176315308
21,10,100,0.1,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,11.401458978652954
22,10,50,0.1,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,7.915803909301758
23,20,100,0.1,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,19.666563987731934
24,20,50,0.1,cross-entropy,one_hot,256,0,ReLu,Sigmoid,0.1135,15.305969715118408
25,10,100,0.1,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9164,11.669468879699709
26,10,50,0.1,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9172,8.94934606552124
27,20,100,0.1,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9324,22.72742176055908
28,20,50,0.1,cross-entropy,binary,256,Xavier,Sigmoid,Sigmoid,0.9314,16.419615983963013
29,10,100,0.1,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9566,8.576822996139526
30,10,50,0.1,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9527,7.127070903778076
31,20,100,0.1,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9693,19.35787606239319
32,20,50,0.1,cross-entropy,binary,256,Xavier,ReLu,Sigmoid,0.9664,15.096440076828005
33,10,100,0.1,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8646,17.42339777946472
34,10,50,0.1,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8422,11.55211091041565
35,20,100,0.1,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8975,35.95455884933472
36,20,50,0.1,cross-entropy,binary,256,random,Sigmoid,Sigmoid,0.8744,15.858302116394045
37,10,100,0.1,cross-entropy,binary,256,random,ReLu,Sigmoid,0.8992,20.04602599143982
38,10,50,0.1,cross-entropy,binary,256,random,ReLu,Sigmoid,0.8639,13.401185035705566
39,20,100,0.1,cross-entropy,binary,256,random,ReLu,Sigmoid,0.9145,38.46502089500427
40,20,50,0.1,cross-entropy,binary,256,random,ReLu,Sigmoid,0.9009,25.369853019714355
41,10,100,0.1,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.1629,19.36861300468445
42,10,50,0.1,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.1777,20.30778288841248
43,20,100,0.1,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3353,41.372575998306274
44,20,50,0.1,cross-entropy,binary,256,0,Sigmoid,Sigmoid,0.3538,30.691590309143063
45,10,100,0.1,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,23.558675050735477
46,10,50,0.1,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,410.10652899742126
47,20,100,0.1,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,31.65316700935364
48,20,50,0.1,cross-entropy,binary,256,0,ReLu,Sigmoid,0.1135,13.781345129013062
49,10,100,0.1,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.865,13.11506199836731
50,10,50,0.1,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.8502,7.90923285484314
51,20,100,0.1,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.8913,22.359061002731323
52,20,50,0.1,quadratic,one_hot,256,Xavier,Sigmoid,Sigmoid,0.888,16.15062403678894
53,10,100,0.1,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9204,8.946953058242798
54,10,50,0.1,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9167,6.36000919342041
55,20,100,0.1,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9343,17.839531898498535
56,20,50,0.1,quadratic,one_hot,256,Xavier,ReLu,Sigmoid,0.9285,13.871218204498293
57,10,100,0.1,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.3633,12.304890155792236
58,10,50,0.1,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.2842,7.521195888519287
59,20,100,0.1,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.0975,22.74203395843506
60,20,50,0.1,quadratic,one_hot,256,random,Sigmoid,Sigmoid,0.4794,17.43574285507202
61,10,100,0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.1552,8.493235111236572
62,10,50,0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.0912,7.118155956268311
63,20,100,0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2669,16.41381311416626
64,20,50,0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2264,12.801353931427002
65,10,100,0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,9.715005159378052
66,10,50,0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,7.101340770721436
67,20,100,0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,19.65262007713318
68,20,50,0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,24.211207151412964
69,10,100,0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,14.478219032287598
70,10,50,0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,10.012128114700316
71,20,100,0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,25.00167489051819
72,20,50,0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,20.690443992614743
73,10,100,0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.8641,11.014814138412476
74,10,50,0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.856,8.863460779190063
75,20,100,0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.891,23.05936574935913
76,20,50,0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.8895,15.848812103271484
77,10,100,0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9175,8.42432689666748
78,10,50,0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9174,7.1940531730651855
79,20,100,0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9365,17.287372827529907
80,20,50,0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9328,14.529223918914797
81,10,100,0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4241,11.437173843383787
82,10,50,0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.2794,10.472961187362673
83,20,100,0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.0993,22.79895710945129
84,20,50,0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4399,15.782768964767456
85,10,100,0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.2936,9.229229927062988
86,10,50,0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.1923,6.692456960678101
